Input,Target,Label
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0001.jpg,1
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0026.jpg,1
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0031.jpg,1
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0033.jpg,1
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0087.jpg,1
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0157.jpg,1
baijingting/0_0_9.jpg,baijingting/0_0_baijingting_0163.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0012.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0022.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0080.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0081.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0090.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0095.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0121.jpg,1
baijingting/0_0_9.jpg,baijingting/1_0_baijingting_0187.jpg,1
baijingting/0_0_9.jpg,baike/0_0_baike_0057.jpg,0
baijingting/0_0_9.jpg,baojianfeng/0_0_baojianfeng_0025.jpg,0
baijingting/0_0_9.jpg,benxi/0_0_benxi_0005.jpg,0
baijingting/0_0_9.jpg,caiyilin/0_0_caiyilin_0094.jpg,0
baijingting/0_0_9.jpg,caizhuoyan/0_0_caizhuoyan_0013.jpg,0
baijingting/0_0_9.jpg,caobingkun/0_0_caobingkun_0040.jpg,0
baijingting/0_0_9.jpg,caoying/0_0_caoying_0155.jpg,0
baijingting/0_0_9.jpg,cengyongti/0_0_cengyongti_0219.jpg,0
baijingting/0_0_9.jpg,changyuan/0_0_changyuan_0001.jpg,0
baijingting/0_0_9.jpg,chenbailin/0_0_chenbailin_0037.jpg,0
baijingting/0_0_9.jpg,chenfarong/0_0_chenfarong_0016.jpg,0
baijingting/0_0_9.jpg,chenglong/0_0_chenglong_0056.jpg,0
baijingting/0_0_9.jpg,chenhaomin/0_0_chenhaomin_0046.jpg,0
baijingting/0_0_9.jpg,chenhe/0_0_chenhe_0117.jpg,0
baijingting/0_0_9.jpg,chenhuilin/0_0_chenhuilin_0151.jpg,0
baijingting/0_0_9.jpg,chenhuixian/0_0_chenhuixian_0078.jpg,0
baijingting/0_0_9.jpg,chenkun/0_0_chenkun_0001.jpg,0
baijingting/0_0_9.jpg,chenqiaoen/0_0_chenqiaoen_0049.jpg,0
baijingting/0_0_9.jpg,chenshu/0_0_chenshu_0124.jpg,0
baijingting/0_0_9.jpg,chenweiting/0_0_chenweiting_0119.jpg,0
baijingting/0_0_9.jpg,chenxiang/0_0_chenxiang_0038.jpg,0
baijingting/0_0_9.jpg,chenxinyu/0_0_chenxinyu_0053.jpg,0
baijingting/0_0_9.jpg,chenxuedong/0_0_chenxuedong_0017.jpg,0
baijingting/0_0_9.jpg,chenyao/0_0_chenyao_0051.jpg,0
baijingting/0_0_9.jpg,chenyi/0_0_chenyi_0007.jpg,0
baijingting/0_0_9.jpg,chenyixun/0_0_chenyixun_0035.jpg,0
baijingting/0_0_9.jpg,chenzhipeng/0_0_chenzhipeng_0008.jpg,0
